时间,岗位,地点,工资,要求,公司,方向,公司标签,福利待遇
2天前发布,Python开发工程师,苏州·独墅湖,10k-20k,经验1-3年 / 本科,问卷网@爱调研,"移动互联网 / B轮 / 150-500人	后端平台","五险一金,福利多多,晋升通道",
1天前发布,Python中高级开发工程师,北京·大望路,15k-30k,经验5-10年 / 大专,乐飞天下,移动互联网,"旅游 / 未融资 / 50-150人	后端MySQL数据挖掘",五险一金 带薪假 海外旅游 节假福利
1天前发布,高级Python研发工程师,北京·四惠,25k-35k,经验3-5年 / 本科,掌阅,"移动互联网 / 上市公司 / 500-2000人	云计算Java云计算","扁平化管理,福利待遇佳,学习氛围好,晋升空间大",
2天前发布,资深Python研发工程师,北京·中关村,20k-40k,经验3-5年 / 本科,Gridsum 国双,数据服务,"企业服务 / 上市公司 / 500-2000人	后端平台云计算","上市公司,六险一金,发挥空间,团队氛围"
1天前发布,高级python开发工程师,成都·高新区,10k-20k,经验3-5年 / 本科,萌想科技,"招聘 / B轮 / 150-500人	移动互联网招聘后端移动开发","周末双休,五险一金,年终奖,节日福利",
1天前发布,Python开发工程师(J10100),北京·西二旗,15k-30k,经验3-5年 / 大专,会分期,"移动互联网、金融 / D轮及以上 / 150-500人	电商房产服务","五险一金,十四薪,弹性工作",
2天前发布,Python开发工程师,北京·酒仙桥,20k-40k,经验3-5年 / 不限,奇虎360金融,移动互联网,"金融 / 未融资 / 500-2000人	移动互联网Hadoop","优秀团队,优秀项目"
3天前发布,Python工程师,北京·大望路,20k-40k,经验3-5年 / 不限,诸葛找房网,移动互联网,"生活服务 / B轮 / 150-500人	后端docker","六险一金,住房补贴,节日福利,一日三餐"
1天前发布,开发工程师（Python）,成都·高新区,7k-12k,经验1-3年 / 本科,金蜜工业卫士,"移动互联网 / 未融资 / 500-2000人	后端Linux/UnixERP","五险一金,周末双休,不加班,办公环境优",
1天前发布,高级Python开发,上海·复旦大学,25k-35k,经验5-10年 / 本科,亿可能源,移动互联网,"数据服务 / A轮 / 50-150人	Ruby","部门负责人,核心成员"
3天前发布,Python开发工程师,武汉·江夏区,10k-15k,经验1-3年 / 本科,猫头鹰团队,移动互联网,"社交网络 / A轮 / 50-150人	JavaMySQL","年终奖金,五险一金,弹性时间,零食水果"
1天前发布,Python工程师（中级）,上海·淮海路,10k-15k,经验3-5年 / 本科,italki,电子商务,"教育 / A轮 / 50-150人	社交教育","全球用户,在线教育,国际团队,福利满分"
2018/10/26,Python,成都·高新区,8k-10k,经验1-3年 / 本科,捷云智慧,"移动互联网 / 不需要融资 / 15-50人	",节日、生日福利、五险，绩效奖金、交通餐补,
1天前发布,高级Python工程师,北京·五道口,25k-35k,经验3-5年 / 本科,tataUFO,移动互联网,"社交网络 / B轮 / 50-150人	MySQL","8天年假,五险一金,扁平化管理,年终奖"
1天前发布,python 高级工程师,北京·三里屯,20k-35k,经验3-5年 / 大专,北京乐途原动力,移动互联网,"广告营销 / 未融资 / 50-150人	后端","十五薪,打车补贴,双月奖金"
2天前发布,Python开发,上海·徐汇区,15k-30k,经验3-5年 / 本科,问卷网@爱调研,"移动互联网 / B轮 / 150-500人	Java","五险一金,季度旅游,生日会,带薪年假",
2天前发布,资深python开发工程师,北京·中关村,20k-30k,经验3-5年 / 本科,Gridsum 国双,数据服务,"企业服务 / 上市公司 / 500-2000人	年度旅游节日礼物年底双薪带薪年假",发挥空间 晋升空间 牛人多 团队优秀
